index,Research Method,Continent,hypothesis,support for hypothesis,type of experiment,Habitat,Investigated species,Number of species,has research problem,Sub-hypothesis,Which species are compared?,Indicator for enemy release,Release of which kind of enemies?,Study date,same as,study,publication
"The invertebrate fauna on broom, Cytisus scoparius, in two native and two exotic habitats /Contribution 2",Observational or correlational,"['Europe', 'Oceania']",Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,HAIs,Aliens in native and invaded range,Infestation,Specialists,2000,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']","The invertebrate fauna on broom, Cytisus scoparius, in two native and two exotic habitats /Contribution 2","The invertebrate fauna on broom, Cytisus scoparius, in two native and two exotic habitats "
A Comparison of Herbivore Damage on Three Invasive Plants and Their Native Congeners: Implications for the Enemy Release Hypothesis/Contribution 1,Observational or correlational,North-America,Enemy release,Supported,Field,Terrestrial,Plants,3,Testing the enemy release hypothesis in invasion biology,AND,Aliens and natives,Damage,no differentiation,2016,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",A Comparison of Herbivore Damage on Three Invasive Plants and Their Native Congeners: Implications for the Enemy Release Hypothesis/Contribution 1,A Comparison of Herbivore Damage on Three Invasive Plants and Their Native Congeners: Implications for the Enemy Release Hypothesis
Can enemy release explain the invasion success of the diploid Leucanthemum vulgare in North America?/Contribution 1,Observational or correlational,North-America,Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,HAD,Aliens in native and invaded range,Damage,no differentiation,2016,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Can enemy release explain the invasion success of the diploid Leucanthemum vulgare in North America?/Contribution 1,Can enemy release explain the invasion success of the diploid Leucanthemum vulgare in North America?
Incorporation of an invasive plant into a native insect herbivore food web/Contribution 1,Observational or correlational,Europe,Enemy release,Undecided,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2016,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Incorporation of an invasive plant into a native insect herbivore food web/Contribution 1,Incorporation of an invasive plant into a native insect herbivore food web
"Gyrodactylus spp. diversity in native and introduced minnow (Phoxinus phoxinus) populations: no support for ""the enemy release"" hypothesis/Contribution 1",Observational or correlational,Europe,Enemy release,Undecided,Field,Freshwater,Fishes,1,Testing the enemy release hypothesis in invasion biology,HAI,Aliens in native and invaded range,Infestation,no differentiation,2016,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']","Gyrodactylus spp. diversity in native and introduced minnow (Phoxinus phoxinus) populations: no support for ""the enemy release"" hypothesis/Contribution 1","Gyrodactylus spp. diversity in native and introduced minnow (Phoxinus phoxinus) populations: no support for ""the enemy release"" hypothesis"
Alien and native plant establishment in grassland communities is more strongly affected by disturbance than above- and below-ground enemies/Contribution 1,Experiment,Europe,Enemy release,Questioned,Enclosure,Terrestrial,Plants,10,Testing the enemy release hypothesis in invasion biology,P AN,Aliens and natives,Performance,no differentiation,2016,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Alien and native plant establishment in grassland communities is more strongly affected by disturbance than above- and below-ground enemies/Contribution 1,Alien and native plant establishment in grassland communities is more strongly affected by disturbance than above- and below-ground enemies
Herbivory and the success of Ligustrum lucidum: evidence from a comparison between native and novel ranges/Contribution 1,Observational or correlational,"['Asia', 'South-America']",Enemy release,Supported,Field,Terrestrial,Plants,1,Testing the enemy release hypothesis in invasion biology,AND,Aliens in native and invaded range,Damage,no differentiation,2016,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48']",Herbivory and the success of Ligustrum lucidum: evidence from a comparison between native and novel ranges/Contribution 1,Herbivory and the success of Ligustrum lucidum: evidence from a comparison between native and novel ranges
"A test of the enemy release hypothesis for plants in the Ecological-Botanical Gardens, Bayreuth, using data on plant parasitic microfungi/Contribution 1",Observational or correlational,Europe,Enemy release,Supported,Enclosure,Terrestrial,Plants,927,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2016,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']","A test of the enemy release hypothesis for plants in the Ecological-Botanical Gardens, Bayreuth, using data on plant parasitic microfungi/Contribution 1","A test of the enemy release hypothesis for plants in the Ecological-Botanical Gardens, Bayreuth, using data on plant parasitic microfungi"
Comparison of parasite diversity in native panopeid mud crabs and the invasive Asian shore crab in estuaries of northeast North America/Contribution 1,Observational or correlational,North-America,Enemy release,Undecided,Field,Marine,Crustaceans,1,Testing the enemy release hypothesis in invasion biology,ANI,Aliens and natives,Infestation,no differentiation,2016,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Comparison of parasite diversity in native panopeid mud crabs and the invasive Asian shore crab in estuaries of northeast North America/Contribution 1,Comparison of parasite diversity in native panopeid mud crabs and the invasive Asian shore crab in estuaries of northeast North America
"Stronger effect of gastropods than rodents on seedling establishment, irrespective of exotic or native plant species origin/Contribution 1",Experiment,"['Europe', 'North-America']",Enemy release,Questioned,Enclosure,Terrestrial,Plants,17,Testing the enemy release hypothesis in invasion biology,P AN,Aliens and natives,Performance,Generalists,2016,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","Stronger effect of gastropods than rodents on seedling establishment, irrespective of exotic or native plant species origin/Contribution 1","Stronger effect of gastropods than rodents on seedling establishment, irrespective of exotic or native plant species origin"
