index,Research Method,Continent,Measure of species similarity,Measure of invasion success,hypothesis,support for hypothesis,number of plant species,type of experiment,has research problem,Study date,same as,study,publication
Functionally Similar Species Confer Greater Resistance to Invasion: Implications for Grassland Restoration/Contribution 1,Experimental,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Supported,1,Field,Testing the limiting similarity hypothesis in invasion biology,2009,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Functionally Similar Species Confer Greater Resistance to Invasion: Implications for Grassland Restoration/Contribution 1,Functionally Similar Species Confer Greater Resistance to Invasion: Implications for Grassland Restoration
The role of diversity and functional traits of species in community invasibility/Contribution 1,Experimental,Asia,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Supported,1,Enclosure,Testing the limiting similarity hypothesis in invasion biology,2004,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48']",The role of diversity and functional traits of species in community invasibility/Contribution 1,The role of diversity and functional traits of species in community invasibility
Testing Fox's assembly rule: does plant invasion depend on recipient community structure?/Contribution 1,Experimental,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Questioned,101,Field,Testing the limiting similarity hypothesis in invasion biology,2004,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Testing Fox's assembly rule: does plant invasion depend on recipient community structure?/Contribution 1,Testing Fox's assembly rule: does plant invasion depend on recipient community structure?
Is phylogenetic relatedness to native species important for the establishment of reptiles introduced to California and Florida?/Contribution 1,Observational or correlational,North America,Functional groups,Invasion Status from Database/ Expert judgement: Established,limiting similarity,Supported,,Field,Testing the limiting similarity hypothesis in invasion biology,2011,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Is phylogenetic relatedness to native species important for the establishment of reptiles introduced to California and Florida?/Contribution 1,Is phylogenetic relatedness to native species important for the establishment of reptiles introduced to California and Florida?
Experimental invasion by legumes reveals non-random assembly rules in grassland communities/Contribution 1,Experimental,Europe,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Undecided,7,Field,Testing the limiting similarity hypothesis in invasion biology,2005,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Experimental invasion by legumes reveals non-random assembly rules in grassland communities/Contribution 1,Experimental invasion by legumes reveals non-random assembly rules in grassland communities
A test of the effects of functional group richness and composition on grassland invasibility/Contribution 1,Experimental,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Questioned,10,Field,Testing the limiting similarity hypothesis in invasion biology,2000,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",A test of the effects of functional group richness and composition on grassland invasibility/Contribution 1,A test of the effects of functional group richness and composition on grassland invasibility
Physiological and morphological traits of exotic- invasive exotic- and native plant species in tallgrass prairie/Contribution 1,Experimental,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Questioned,7,Field,Testing the limiting similarity hypothesis in invasion biology,2001,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Physiological and morphological traits of exotic- invasive exotic- and native plant species in tallgrass prairie/Contribution 1,Physiological and morphological traits of exotic- invasive exotic- and native plant species in tallgrass prairie
Resistance of Native Plant Functional Groups to Invasion by Medusahead (Taeniatherum caput-medusae)/Contribution 1,Experimental,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Supported,1,Field,Testing the limiting similarity hypothesis in invasion biology,2010,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Resistance of Native Plant Functional Groups to Invasion by Medusahead (Taeniatherum caput-medusae)/Contribution 1,Resistance of Native Plant Functional Groups to Invasion by Medusahead (Taeniatherum caput-medusae)
Grassland invader responses to realistic changes in native species richness/Contribution 1,Experimental,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Supported,1,Field,Testing the limiting similarity hypothesis in invasion biology,2007,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Grassland invader responses to realistic changes in native species richness/Contribution 1,Grassland invader responses to realistic changes in native species richness
Plant functional group diversity as a mechanism for invasion resistance/Contribution 1,Experimental,North America,Functional groups,Abundance/Biomass/Cover/Growth of exotic species,limiting similarity,Supported,1,Field,Testing the limiting similarity hypothesis in invasion biology,2005,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Plant functional group diversity as a mechanism for invasion resistance/Contribution 1,Plant functional group diversity as a mechanism for invasion resistance
